iter	Passed	Remaining
886	817710	104172
887	818607	103247
888	819502	102322
889	820402	101398
890	821290	100472
891	822203	99549
892	823321	98651
893	824223	97726
894	825127	96802
895	826008	95876
896	826901	94950
897	827807	94027
898	828703	93102
899	829584	92176
900	830476	91250
901	831400	90329
902	832295	89404
903	833204	88481
904	834129	87560
905	835032	86636
906	835949	85714
907	836844	84790
908	837999	83892
909	838900	82968
910	839791	82043
911	840680	81118
912	841588	80195
913	842476	79270
914	843382	78347
915	844280	77423
916	846244	76595
917	847245	75679
918	848129	74753
919	849032	73828
920	849900	72901
921	850766	71973
922	851654	71048
923	852834	70146
924	853878	69233
925	854769	68307
926	855651	67381
927	856533	66455
928	857444	65531
929	858341	64606
930	859233	63681
931	860111	62754
932	861010	61830
933	861898	60905
934	862784	59979
935	863663	59053
936	864531	58127
937	865426	57203
938	866303	56277
939	867189	55352
940	868336	54444
941	869239	53520
942	870121	52594
943	871025	51670
944	871932	50747
945	872814	49822
946	873678	48896
947	874565	47971
948	875468	47048
949	876362	46124
950	877255	45200
951	878150	44276
952	879055	43353
953	879950	42429
954	880843	41505
955	881731	40581
956	882883	39669
957	883783	38746
958	884688	37822
959	885581	36899
960	886487	35976
961	887397	35053
962	888322	34130
963	889215	33207
964	890122	32284
965	891000	31360
966	891890	30436
967	892800	29514
968	893694	28590
969	894580	27667
970	895476	26744
971	896364	25821
972	897297	24899
973	898413	23982
974	899306	23059
975	900195	22135
976	901092	21213
977	901985	20290
978	902913	19367
979	903815	18445
980	904701	17522
981	905589	16599
982	906471	15676
983	907374	14754
984	908282	13831
985	909159	12908
986	910044	11986
987	910921	11063
988	911816	10141
989	912960	9221
990	913825	8299
991	914727	7376
992	915609	6454
993	916503	5532
994	917403	4610
995	918312	3688
996	919215	2765
997	920107	1843
998	920994	921
999	921886	0
